player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Cam Worthy,9868,WR,E CAROLINA,11,30.8,1,156,76.0,,56.3,0,0,0,0.0,0.0,,2,0,0,229,0,0,0,744,0,515,0,0,229,0
Jay Ajayi,9582,HB,BOISE ST,14,24.2,0,120,77.9,61.9,55.8,2,4,131,27.5,27.3,96.9,2,7,1,229,0,0,0,945,135,495,0,0,94,1
Kenny Lacy,46034,G,UCLA,5,100.0,0,324,72.2,78.1,70.1,1,3,112,100.0,100.0,98.2,0,4,0,229,0,228,0,229,117,117,1,0,112,0
Paul Lang,11442,TE,MICH STATE,13,91.2,1,223,62.2,76.9,61.8,0,0,21,48.8,50.0,100.0,1,0,0,228,0,0,7,250,22,44,0,1,206,210
D'haquille Williams,11366,WR,AUBURN,10,51.4,0,115,85.4,,54.4,0,0,0,0.0,0.0,,3,0,0,228,0,0,0,444,0,216,0,0,228,0
Darrell Daniels,12122,TE,WASHINGTON,12,60.0,1,340,59.3,65.8,59.3,0,0,18,11.1,11.6,100.0,3,0,0,228,0,0,5,380,20,172,0,3,208,208
Shane Williams-Rhodes,16845,WR,BOISE ST,14,38.1,1,120,74.6,,61.0,0,0,0,0.0,0.0,,2,0,0,228,0,0,0,599,0,356,0,0,228,2
Christopher Harper,9950,WR,CAL,12,38.1,0,130,74.8,,64.2,0,0,0,0.0,0.0,,2,0,0,228,0,0,0,599,0,366,0,0,228,0
Sean Price,17750,TE,USF,11,54.0,1,327,61.0,62.8,71.6,0,0,32,15.0,15.0,96.9,4,1,1,227,0,0,0,420,34,227,0,3,193,309
John Wolford,46454,QB,WAKE,12,31.4,0,339,59.4,,60.0,0,0,0,0.0,0.0,,3,0,0,227,0,0,0,723,0,456,0,0,227,0
Marquis Bundy,11429,WR,NEW MEXICO,12,79.4,0,241,61.3,,77.3,0,0,0,0.0,0.0,,0,0,0,227,0,0,0,286,0,59,0,0,227,0
Nick Jones,12453,WR,S CAROLINA,13,38.4,0,289,64.1,,59.0,0,0,0,0.0,0.0,,1,0,0,226,0,0,0,589,0,363,0,0,226,0
Micah Simmons,18496,C,MEMPHIS,10,100.0,1,218,56.0,71.1,54.3,0,3,93,100.0,100.0,98.4,1,3,0,226,226,0,0,226,95,95,0,0,131,0
Treon Harris,27651,QB,FLORIDA,9,53.2,0,163,64.7,,60.3,0,0,0,0.0,0.0,,1,0,0,226,0,0,0,425,0,135,0,0,226,0
Kam Jones,13080,WR,UTSA,12,40.1,0,331,56.6,,79.7,0,0,0,0.0,0.0,,0,0,0,226,0,0,0,563,0,314,0,0,226,2
Titus Davis,10126,WR,C MICHIGAN,10,43.5,2,134,87.6,,59.7,0,0,0,0.0,0.0,,4,0,0,226,0,0,0,520,0,291,0,0,226,4
Gehrig Dieter,12163,WR,BOWL GREEN,9,42.5,0,122,66.1,,63.8,0,0,0,0.0,0.0,,0,0,0,226,0,0,0,532,0,306,0,0,226,0
Brett Kendrick,46861,T,TENNESSEE,10,100.0,0,307,57.4,67.0,54.6,1,4,103,100.0,100.0,95.6,1,7,2,226,0,0,226,226,104,104,0,0,122,0
Delvon Hardaway,47775,WR,FRESNO ST,13,42.7,0,169,58.7,,60.3,0,0,0,0.0,0.0,,2,0,0,226,0,0,0,529,0,303,0,0,226,3
