player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
DeAngelo Irvin Jr.,174074,WR,UNLV,12,0,325,,68.1,64.9,0,0,0,0,0,0,,0,12,15,12,0,0,38,3.2,12
David Amador II,174085,WR,UTSA,11,0,331,60.0,58.8,59.1,0,0,0,0,0,0,,0,11,11,20,0,0,70,6.4,11
Robert Henry Jr.,174094,HB,UTSA,11,0,331,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Willie McCoy III,174103,WR,UTSA,5,0,331,58.3,,57.9,2,1,19,0,0,34,17.0,0,0,0,0,0,0,0,,2
Jerry Mixon,174117,LB,OREGON,13,0,264,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Cole Martin,174122,S,UCLA,12,0,324,65.9,,66.8,7,0,33,0,0,164,23.4,0,0,0,0,0,0,0,,7
Jayden Limar,174130,HB,OREGON,7,0,264,58.3,,58.0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
David Mbadinga,174136,HB,GA SOUTHRN,7,0,174,59.9,,59.9,1,0,6,0,0,6,6.0,1,0,0,0,0,0,0,,1
Zachariah Branch,174142,WR,GEORGIA,12,0,173,60.3,86.1,71.8,10,3,44,0,0,210,21.0,0,12,22,29,0,0,133,11.1,22
DT Sheffield,174143,WR,RUTGERS,12,0,278,,67.6,64.7,0,0,0,0,0,0,,0,2,11,7,0,0,12,6.0,2
Jamarian Samuel,174149,HB,GA SOUTHRN,5,0,174,55.3,,54.4,5,0,20,0,0,85,17.0,0,0,0,0,0,0,0,,5
Makai Lemon,174150,WR,USC,12,0,326,59.8,74.9,67.0,8,3,24,0,0,146,18.3,0,6,20,35,0,0,71,11.8,14
Carlos Hernandez,174167,WR,WAKE,12,0,339,56.4,75.7,67.3,1,0,19,0,0,19,19.0,0,20,9,88,2,1,260,13.0,21
Mikey Matthews,174168,WR,UCLA,12,0,324,55.9,69.7,62.5,2,1,21,0,0,28,14.0,1,9,10,17,1,0,47,5.2,11
Tiger Bachmeier,174177,WR,BYU,12,0,128,59.9,66.7,63.9,1,0,21,0,0,21,21.0,0,5,2,44,0,0,48,9.6,6
Jackson Wade,174267,WR,FLORIDA,12,0,163,59.1,,58.9,1,1,-5,0,0,-5,-5.0,0,0,0,0,0,0,0,,1
Kam Franklin,174290,S,LA TECH,12,0,208,59.9,,59.9,1,0,0,0,0,0,0.0,4,0,0,0,0,0,0,,1
Jalon Kilgore,174323,CB,S CAROLINA,11,0,289,,30.6,41.0,0,0,0,0,0,0,,0,2,3,0,2,0,0,0.0,2
